W_PROV,SEQ_NO,FSIZE,URB,RFACT,TOINC,WAGES,RPCINC,CASH_ABROAD,CASH_DOMESTIC,TOTEX,PERCAPITA,FOOD,CLOTH,HEALTH,TRANSPORT,COMMUNICATION,RECREATION,EDUCATION
10,26189,3.5,1,482.894195557,604389.0,0,9,450000,85000,497117.0,172682.578125,111026.0,1150,8906,12576,25900,9060,15000
10,26190,6.0,1,482.894195557,1530130.0,1136960,10,0,330000,984463.0,255021.671875,256643.0,3700,324800,17320,36200,18000,61000
10,26191,4.0,1,482.894195557,381370.0,306250,6,0,6000,253704.0,95342.5,101776.0,480,1570,3784,18940,2660,9100
10,26192,4.0,1,482.894195557,458360.0,120000,7,0,0,271155.0,114590.0,125237.0,630,18956,11972,19514,4590,13000
10,26193,3.0,1,482.894195557,579640.0,0,9,320000,30000,383214.0,193213.328125,81156.0,4100,27770,12120,19050,7100,86000
10,26194,7.0,1,482.894195557,307500.0,279360,2,0,0,254210.0,43928.570312,130135.0,2310,725,19700,10400,3040,13000
10,26195,2.0,1,482.894195557,458516.0,0,9,60000,360000,231859.0,229258.0,95970.0,2900,2864,12156,18338,1500,30000
10,26196,1.0,1,591.692810059,121786.0,0,7,55000,35000,109062.0,121786.0,46965.0,1700,11182,7294,2900,0,0
10,26197,2.0,1,591.692810059,333320.0,0,8,46000,90000,308623.0,166660.0,97867.0,2200,39280,5676,16800,0,0
10,26198,4.0,1,591.692810059,341840.0,335840,5,0,0,216617.0,85460.0,135838.0,850,2280,17344,3050,0,0
10,26199,4.5,1,591.692810059,342490.0,241640,4,47000,0,296745.0,76108.890625,138508.0,5900,9150,19708,16250,0,0
10,26200,3.0,1,591.692810059,271200.0,0,5,240000,0,249011.0,90400.0,91847.0,3200,3180,8242,18200,1200,6000
10,26201,4.5,1,591.692810059,503260.0,423000,7,0,0,405820.0,111835.554688,159783.0,8858,13508,30200,17094,0,0
10,26202,4.0,1,591.692810059,718720.0,284400,9,0,0,376975.0,179680.0,119246.0,3680,6540,81750,21594,0,0
10,26203,4.0,1,591.692810059,428035.0,368760,6,18000,0,291316.0,107008.75,128238.0,8200,4620,15160,18200,0,0
10,26204,3.0,1,591.692810059,379260.0,346200,7,0,0,208012.0,126420.0,109341.0,7270,2785,6500,3600,0,0
10,26205,4.0,1,591.692810059,527300.0,415300,7,0,0,236120.0,131825.0,98230.0,17000,4920,18432,17994,0,0
10,26206,1.0,1,591.692810059,177092.0,142000,9,0,0,115417.0,177092.0,45411.0,5108,2210,2800,2400,0,0
10,26207,3.0,1,591.692810059,381445.0,208000,7,90000,0,243924.0,127148.335938,88670.0,2450,3480,14200,14494,0,0
10,26208,3.0,1,591.692810059,300620.0,249000,6,0,0,158913.0,100206.664063,77188.0,10607,4760,4880,3700,0,0
10,26209,2.0,1,591.692810059,163905.0,63000,5,0,11000,117182.0,81952.5,50545.0,500,6200,3300,1250,0,0
10,26210,2.0,1,591.692810059,354000.0,55000,9,0,0,246153.0,177000.0,100418.0,10100,2780,27310,15044,0,0
10,26211,3.5,1,591.692810059,375600.0,311200,6,50000,0,232332.0,107314.289063,120038.0,1600,7840,10680,16800,0,0
10,26212,5.0,1,591.692810059,210580.0,89000,2,0,51800,184318.0,42116.0,100196.0,700,4940,2992,3700,1300,3000
10,26213,2.0,1,591.692810059,210303.0,97000,6,85000,0,115284.0,105151.5,53437.0,300,654,2003,1500,0,0
10,26214,4.0,1,591.692810059,215680.0,70000,3,0,0,187862.0,53920.0,75086.0,2780,5510,19288,10550,0,0
10,26215,3.5,1,362.018859863,256000.0,226000,4,0,0,161521.0,73142.859375,60695.0,1550,0,17700,18650,0,0
10,26216,3.0,1,362.018859863,201000.0,156000,4,0,3000,177196.0,67000.0,73203.0,300,1560,6742,15600,0,0
10,26217,4.0,1,362.018859863,409730.0,370600,6,0,0,269939.0,102432.5,88858.0,11820,0,39000,22800,3600,6000
10,26218,1.0,1,362.018859863,259000.0,251000,10,0,0,182842.0,259000.0,75314.0,11600,0,25000,6000,0,0
10,26219,6.5,1,362.018859863,439600.0,406600,4,0,0,309794.0,67630.765625,108552.0,850,0,57200,27000,1500,18000
10,26220,3.0,1,362.018859863,506200.0,452200,9,0,0,238233.0,168733.328125,91761.0,790,0,18520,21500,0,0
10,26221,4.0,1,362.018859863,570748.0,504248,8,0,0,297931.0,142687.0,98131.0,4700,1800,39000,12000,0,0
10,26222,3.0,1,362.018859863,182576.0,149576,3,0,0,161212.0,60858.667969,41747.0,355,0,23660,16800,0,0
10,26223,3.0,1,362.018859863,237000.0,72000,5,0,0,183436.0,79000.0,54788.0,4550,0,14300,10200,0,0
10,26224,1.0,1,362.018859863,198800.0,162800,9,0,0,123096.0,198800.0,18314.0,550,0,7800,6894,0,0
10,26225,2.0,1,362.018859863,122000.0,0,3,0,0,112794.0,61000.0,25581.0,250,0,4550,15000,0,0
10,26226,1.0,1,362.018859863,161676.0,142376,8,0,0,109475.0,161676.0,21115.0,120,0,9900,15000,0,0
10,26227,2.0,1,362.018859863,359212.0,218712,9,0,0,137659.0,179606.0,41239.0,800,0,4550,13800,0,0
10,26228,2.0,1,362.018859863,165600.0,0,5,0,0,119873.0,82800.0,29740.0,200,0,2550,6600,0,0
10,26229,7.5,1,362.018859863,262100.0,170500,1,0,58400,205865.0,34946.667969,107002.0,370,0,11700,7500,400,2400
